user_id,signup_at,city,segment,discount_acquired,essential_affinity,churn_risk_score
1,2025-12-07,Kolkata,churn_risk,False,0.336,0.709
2,2026-04-09,Chennai,churn_risk,False,0.492,0.874
3,2026-03-18,Chennai,discount_hunter,True,0.396,0.492
4,2026-02-07,Hyderabad,habitual,False,0.76,0.05
5,2026-02-06,Delhi,habitual,False,0.788,0.148
6,2026-04-24,Mumbai,habitual,False,0.744,0.313
7,2025-12-06,Chennai,standard,False,0.604,0.53
8,2026-03-26,Kolkata,churn_risk,False,0.523,0.745
9,2025-12-27,Kolkata,discount_hunter,True,0.527,0.506
10,2025-12-07,Hyderabad,habitual,False,0.574,0.05
11,2026-02-23,Kolkata,standard,False,0.547,0.454
12,2026-05-15,Pune,standard,False,0.591,0.49
13,2026-04-02,Chennai,churn_risk,False,0.479,0.627
14,2026-04-07,Kolkata,standard,True,0.582,0.545
15,2026-03-30,Delhi,standard,False,0.573,0.439
16,2026-04-11,Delhi,habitual,False,0.778,0.154
17,2026-02-21,Hyderabad,discount_hunter,True,0.508,0.434
18,2025-12-14,Pune,standard,False,0.478,0.103
19,2026-04-21,Chennai,standard,False,0.644,0.538
20,2026-02-10,Delhi,discount_hunter,True,0.422,0.597
21,2026-02-19,Bengaluru,churn_risk,False,0.251,0.901
22,2026-01-26,Hyderabad,habitual,False,0.746,0.138
23,2025-12-23,Hyderabad,discount_hunter,True,0.423,0.485
24,2026-05-06,Bengaluru,standard,False,0.563,0.611
25,2026-04-10,Chennai,discount_hunter,True,0.367,0.365
26,2026-03-16,Chennai,habitual,False,0.731,0.259
27,2026-02-01,Chennai,churn_risk,False,0.351,0.758
28,2026-04-18,Pune,discount_hunter,True,0.468,0.425
29,2026-02-27,Mumbai,standard,False,0.561,0.696
30,2026-02-08,Mumbai,standard,False,0.532,0.424
31,2026-02-10,Bengaluru,discount_hunter,True,0.423,0.477
32,2025-12-31,Pune,standard,False,0.451,0.516
33,2025-12-07,Bengaluru,discount_hunter,True,0.516,0.841
34,2026-02-28,Bengaluru,habitual,False,0.664,0.125
35,2026-04-29,Hyderabad,standard,False,0.427,0.344
36,2025-12-02,Mumbai,discount_hunter,True,0.441,0.429
37,2026-04-24,Chennai,habitual,False,0.665,0.14
38,2026-04-18,Hyderabad,churn_risk,False,0.335,0.87
39,2026-01-09,Hyderabad,standard,False,0.626,0.49
40,2026-03-14,Chennai,standard,False,0.475,0.307
41,2025-12-20,Hyderabad,standard,False,0.689,0.434
42,2026-04-06,Bengaluru,standard,True,0.549,0.492
43,2026-03-27,Hyderabad,discount_hunter,True,0.446,0.681
44,2026-01-23,Delhi,standard,False,0.65,0.461
45,2025-12-03,Chennai,standard,True,0.537,0.403
46,2026-05-14,Chennai,churn_risk,False,0.341,0.822
47,2026-02-09,Bengaluru,standard,False,0.534,0.407
48,2026-04-30,Delhi,standard,False,0.847,0.545
49,2026-03-23,Chennai,churn_risk,False,0.163,0.82
50,2026-04-10,Hyderabad,discount_hunter,True,0.481,0.308
51,2026-04-06,Bengaluru,standard,True,0.639,0.68
52,2025-12-26,Pune,churn_risk,False,0.414,0.822
53,2026-01-25,Bengaluru,habitual,False,0.754,0.142
54,2026-02-13,Kolkata,standard,False,0.617,0.382
55,2026-02-18,Bengaluru,standard,False,0.611,0.592
56,2025-11-28,Hyderabad,churn_risk,False,0.361,0.633
57,2026-02-27,Hyderabad,standard,False,0.615,0.469
58,2025-12-18,Hyderabad,discount_hunter,True,0.488,0.439
59,2026-04-03,Kolkata,standard,False,0.574,0.571
60,2026-03-23,Kolkata,standard,False,0.474,0.47
61,2026-05-06,Mumbai,churn_risk,False,0.326,0.788
62,2026-04-04,Chennai,churn_risk,False,0.336,0.75
63,2026-01-25,Pune,standard,False,0.483,0.433
64,2026-05-14,Hyderabad,standard,False,0.461,0.547
65,2026-02-02,Kolkata,discount_hunter,True,0.551,0.385
66,2026-01-18,Hyderabad,habitual,False,0.663,0.261
67,2026-05-02,Mumbai,standard,False,0.461,0.595
68,2026-01-26,Pune,standard,False,0.565,0.317
69,2025-12-04,Bengaluru,churn_risk,False,0.307,0.847
70,2026-02-13,Delhi,standard,False,0.598,0.504
71,2026-04-13,Chennai,standard,False,0.575,0.531
72,2025-12-25,Hyderabad,standard,True,0.585,0.4
73,2026-02-12,Pune,standard,False,0.478,0.702
74,2025-12-14,Pune,habitual,False,0.678,0.189
75,2026-03-24,Kolkata,standard,False,0.591,0.685
76,2026-02-14,Mumbai,habitual,False,0.592,0.292
77,2026-01-19,Bengaluru,standard,True,0.577,0.67
78,2025-12-31,Delhi,standard,False,0.552,0.713
79,2026-03-02,Mumbai,churn_risk,False,0.482,0.825
80,2026-03-21,Delhi,habitual,False,0.592,0.385
81,2026-05-09,Mumbai,standard,False,0.51,0.673
82,2026-02-07,Bengaluru,standard,False,0.56,0.64
83,2025-12-19,Chennai,habitual,False,0.822,0.083
84,2026-04-19,Pune,discount_hunter,True,0.541,0.396
85,2026-03-14,Mumbai,discount_hunter,True,0.429,0.448
86,2026-03-27,Chennai,discount_hunter,True,0.495,0.567
87,2025-12-08,Mumbai,standard,True,0.621,0.363
88,2026-01-16,Kolkata,churn_risk,False,0.446,0.675
89,2026-04-08,Chennai,standard,False,0.647,0.49
90,2026-04-19,Delhi,standard,False,0.462,0.417
91,2026-02-07,Chennai,habitual,False,0.871,0.09
92,2026-04-14,Delhi,standard,False,0.477,0.447
93,2026-04-21,Chennai,habitual,False,0.738,0.234
94,2026-01-29,Hyderabad,standard,False,0.505,0.571
95,2026-05-01,Hyderabad,discount_hunter,True,0.475,0.403
96,2026-01-11,Chennai,discount_hunter,True,0.454,0.316
97,2026-01-03,Chennai,habitual,False,0.857,0.362
98,2026-03-23,Kolkata,habitual,False,0.62,0.225
99,2026-03-15,Chennai,standard,False,0.405,0.505
100,2025-12-16,Mumbai,discount_hunter,True,0.398,0.299
101,2026-04-19,Hyderabad,habitual,False,0.637,0.213
102,2025-12-26,Delhi,habitual,False,0.762,0.206
103,2026-04-14,Delhi,standard,False,0.535,0.393
104,2025-11-22,Chennai,standard,False,0.578,0.416
105,2026-04-13,Kolkata,standard,False,0.572,0.247
106,2026-04-11,Kolkata,discount_hunter,True,0.414,0.494
107,2026-04-10,Pune,churn_risk,False,0.325,0.655
108,2026-03-20,Hyderabad,churn_risk,False,0.29,0.586
109,2026-02-13,Mumbai,habitual,False,0.776,0.266
110,2026-03-27,Pune,habitual,False,0.615,0.177
111,2026-01-09,Chennai,discount_hunter,True,0.313,0.516
112,2026-04-10,Bengaluru,standard,False,0.488,0.673
113,2026-03-01,Bengaluru,habitual,False,0.835,0.263
114,2026-02-11,Mumbai,discount_hunter,True,0.408,0.286
115,2026-02-20,Chennai,standard,False,0.532,0.467
116,2026-03-03,Pune,standard,False,0.458,0.158
117,2025-11-27,Delhi,standard,False,0.431,0.498
118,2025-12-16,Chennai,habitual,False,0.647,0.458
119,2026-01-04,Chennai,standard,False,0.587,0.439
120,2025-12-11,Hyderabad,standard,True,0.405,0.62
121,2026-02-08,Pune,standard,True,0.674,0.478
122,2026-03-21,Bengaluru,discount_hunter,True,0.342,0.329
123,2026-03-18,Chennai,churn_risk,False,0.312,0.801
124,2026-02-13,Bengaluru,churn_risk,False,0.286,0.79
125,2026-04-23,Bengaluru,discount_hunter,True,0.431,0.746
126,2026-03-02,Kolkata,standard,False,0.676,0.461
127,2025-12-05,Mumbai,standard,False,0.519,0.656
128,2026-04-07,Chennai,habitual,False,0.679,0.247
129,2026-03-04,Pune,habitual,False,0.767,0.213
130,2026-03-15,Chennai,discount_hunter,True,0.402,0.242
131,2026-03-02,Delhi,standard,False,0.553,0.631
132,2026-02-28,Pune,churn_risk,False,0.493,0.634
133,2025-12-07,Kolkata,standard,True,0.603,0.444
134,2026-03-01,Bengaluru,habitual,False,0.744,0.202
135,2026-04-13,Delhi,churn_risk,False,0.401,0.835
136,2026-01-14,Kolkata,habitual,False,0.672,0.25
137,2026-03-09,Chennai,discount_hunter,True,0.372,0.56
138,2025-11-26,Mumbai,discount_hunter,True,0.532,0.414
139,2026-01-22,Kolkata,discount_hunter,True,0.472,0.542
140,2026-02-07,Mumbai,discount_hunter,True,0.533,0.488
141,2026-05-16,Hyderabad,standard,False,0.677,0.39
142,2025-12-29,Delhi,standard,False,0.662,0.536
143,2026-01-09,Mumbai,discount_hunter,True,0.479,0.669
144,2026-02-02,Chennai,habitual,False,0.736,0.373
145,2026-05-18,Hyderabad,habitual,False,0.637,0.308
146,2026-04-23,Chennai,standard,False,0.494,0.441
147,2025-11-27,Pune,standard,False,0.514,0.092
148,2026-01-02,Mumbai,habitual,False,0.749,0.145
149,2026-04-17,Pune,churn_risk,False,0.354,0.748
150,2025-12-01,Bengaluru,standard,False,0.564,0.396
151,2026-04-24,Mumbai,standard,False,0.524,0.353
152,2026-01-10,Mumbai,standard,False,0.488,0.552
153,2026-05-05,Pune,habitual,False,0.768,0.094
154,2026-01-12,Mumbai,standard,False,0.571,0.416
155,2026-02-07,Delhi,discount_hunter,True,0.423,0.592
156,2026-03-20,Mumbai,standard,False,0.578,0.78
157,2025-12-13,Hyderabad,standard,False,0.51,0.498
158,2026-03-01,Bengaluru,standard,False,0.62,0.2
159,2026-02-19,Chennai,standard,True,0.674,0.519
160,2026-04-11,Hyderabad,discount_hunter,True,0.439,0.617
161,2026-05-19,Hyderabad,churn_risk,False,0.401,0.81
162,2026-03-20,Kolkata,discount_hunter,True,0.52,0.643
163,2026-02-02,Chennai,churn_risk,False,0.368,0.827
164,2026-02-02,Hyderabad,standard,False,0.482,0.526
165,2026-02-04,Mumbai,churn_risk,False,0.387,0.883
166,2026-04-16,Kolkata,habitual,False,0.771,0.183
167,2026-01-17,Kolkata,discount_hunter,True,0.359,0.457
168,2025-12-21,Hyderabad,habitual,False,0.697,0.245
169,2026-01-20,Pune,standard,False,0.631,0.407
170,2025-11-25,Delhi,standard,False,0.625,0.348
171,2025-12-10,Delhi,standard,True,0.444,0.593
172,2025-12-07,Bengaluru,standard,True,0.425,0.481
173,2026-04-08,Delhi,habitual,False,0.807,0.274
174,2026-03-31,Hyderabad,churn_risk,False,0.229,0.746
175,2026-03-26,Delhi,standard,False,0.489,0.606
176,2026-02-12,Chennai,habitual,False,0.786,0.291
177,2026-03-30,Bengaluru,habitual,False,0.823,0.362
178,2025-12-20,Chennai,standard,False,0.466,0.497
179,2026-05-02,Hyderabad,standard,False,0.571,0.363
180,2026-02-19,Hyderabad,habitual,False,0.811,0.248
181,2026-05-08,Delhi,habitual,False,0.689,0.145
182,2025-12-18,Delhi,standard,True,0.51,0.555
183,2026-02-18,Chennai,standard,False,0.684,0.401
184,2026-03-26,Mumbai,standard,False,0.537,0.482
185,2026-02-18,Mumbai,discount_hunter,True,0.294,0.402
186,2026-02-09,Hyderabad,discount_hunter,True,0.491,0.387
187,2025-12-20,Chennai,standard,False,0.594,0.44
188,2026-01-28,Hyderabad,discount_hunter,True,0.566,0.544
189,2026-01-02,Chennai,churn_risk,False,0.437,0.579
190,2026-01-14,Pune,standard,False,0.582,0.348
191,2026-03-24,Kolkata,standard,False,0.483,0.4
192,2026-03-14,Pune,standard,False,0.674,0.358
193,2026-03-10,Delhi,standard,False,0.539,0.371
194,2026-01-25,Pune,discount_hunter,True,0.546,0.531
195,2026-05-12,Mumbai,discount_hunter,True,0.549,0.528
196,2025-12-06,Bengaluru,habitual,False,0.768,0.231
197,2026-01-21,Mumbai,standard,False,0.52,0.397
198,2025-12-12,Mumbai,discount_hunter,True,0.594,0.295
199,2026-01-21,Pune,standard,False,0.558,0.626
200,2026-05-13,Chennai,standard,False,0.573,0.484
201,2026-01-25,Pune,standard,False,0.615,0.295
202,2026-05-03,Pune,churn_risk,False,0.373,0.831
203,2026-02-18,Chennai,discount_hunter,True,0.565,0.478
204,2026-03-26,Pune,habitual,False,0.747,0.16
205,2026-02-11,Bengaluru,discount_hunter,True,0.45,0.435
206,2026-01-07,Pune,standard,False,0.594,0.492
207,2026-04-07,Kolkata,standard,True,0.471,0.389
208,2026-05-14,Kolkata,discount_hunter,True,0.494,0.344
209,2026-01-07,Hyderabad,churn_risk,False,0.363,0.836
210,2026-04-10,Mumbai,habitual,False,0.778,0.262
211,2026-01-07,Hyderabad,standard,False,0.611,0.284
212,2026-03-30,Bengaluru,churn_risk,False,0.332,0.628
213,2026-04-12,Mumbai,standard,False,0.486,0.193
214,2026-02-09,Kolkata,standard,False,0.661,0.266
215,2026-04-02,Bengaluru,standard,False,0.682,0.421
216,2026-01-09,Mumbai,standard,False,0.758,0.342
217,2025-12-05,Pune,habitual,False,0.689,0.262
218,2025-12-08,Mumbai,habitual,False,0.674,0.127
219,2026-02-09,Chennai,standard,True,0.468,0.269
220,2026-05-02,Mumbai,standard,False,0.536,0.296
221,2025-12-13,Mumbai,habitual,False,0.599,0.279
222,2026-02-11,Hyderabad,habitual,False,0.685,0.318
223,2026-03-27,Bengaluru,standard,False,0.559,0.161
224,2025-12-27,Mumbai,standard,False,0.417,0.408
225,2026-03-30,Bengaluru,churn_risk,False,0.39,0.9
226,2026-01-15,Delhi,churn_risk,False,0.466,0.751
227,2026-04-15,Mumbai,standard,False,0.579,0.412
228,2026-03-05,Mumbai,discount_hunter,True,0.544,0.749
229,2026-02-27,Pune,churn_risk,False,0.315,0.735
230,2025-12-22,Pune,standard,True,0.424,0.701
231,2026-02-12,Kolkata,churn_risk,False,0.467,0.707
232,2026-04-24,Chennai,habitual,False,0.744,0.281
233,2025-11-24,Chennai,habitual,False,0.707,0.173
234,2026-04-06,Hyderabad,habitual,False,0.717,0.479
235,2026-02-17,Bengaluru,standard,False,0.465,0.367
236,2026-03-30,Delhi,discount_hunter,True,0.505,0.45
237,2026-03-20,Pune,discount_hunter,True,0.503,0.372
238,2026-02-06,Mumbai,standard,False,0.571,0.61
239,2026-01-15,Bengaluru,habitual,False,0.684,0.26
240,2026-03-13,Kolkata,churn_risk,False,0.413,0.685
241,2025-12-16,Kolkata,churn_risk,False,0.405,0.772
242,2026-03-06,Delhi,habitual,False,0.743,0.173
243,2025-12-08,Kolkata,standard,True,0.546,0.537
244,2026-03-17,Delhi,standard,False,0.543,0.331
